CODE LIST NAME,CODE VALUE,CODE NAME,COMMON,HOTEL,DYNAMIC PACKAGING,VEHICLE,INSURANCE,AIR,CRUISE,RAIL,DEFINITION,DATE
Additional Detail Type,,ADT,,,,,,,,,,2003-06-01,
,1,Rate description,,*,,,,,,,,2003-06-01,
,2,Property description,,*,,,,,,,,2003-06-01,
,3,Property location,,*,,,,,,,,2003-06-01,
,4,Room information,,*,,,,,,,,2003-06-01,
,5,Guarantee information,,*,,,,,,,,2003-06-01,
,6,Deposit information,,*,,,,,,,,2003-06-01,
,7,Cancellation information,,*,,,,,,,,2003-06-01,
,8,Check in check out information,,*,,,,,,,,2003-06-01,
,9,Extra charge information,,*,,,,,,,,2003-06-01,
,10,Tax information,,*,,,,,,,,2003-06-01,
,11,Service charge information,,*,,,,,,,,2003-06-01,
,12,Package information,,*,,,,,,,,2003-06-01,
,13,Commission information,,*,,,,,,,,2003-06-01,
,14,Miscellaneous information,,*,,,,,,,,2003-06-01,
,15,Promotional information,,*,,,,,,,,2003-06-01,
,16,Inclusion information,,*,,,,,,,,2003-06-01,
,17,Amenity information,,*,,,,,,,,2003-06-01,
,18,Late arrival information,,*,,,,,,,,2003-06-01,
,19,Late departure information,,*,,,,,,,,2003-06-01,
,20,Advanced booking information,,*,,,,,,,,2003-06-01,
,21,Extra person information,,*,,,,,,,,2004-05-14,
,22,Areas served,,*,,,,,,,,2005-03-24,
,23,Onsite facilities information,,*,,,,,,,,2005-03-24,
,24,Offsite facilities information,,*,,,,,,,,2005-03-24,
,25,Onsite services information,,*,,,,,,,,2005-03-24,
,26,Offsite services information,,*,,,,,,,,2005-03-24,
,27,Extended stay information,,*,,,,,,,,2005-03-24,
,28,Corporate booking information,,*,,,,,,,,2005-03-24,
,29,Booking guidelines,,*,,,,,,,,2005-03-24,
,30,Government booking policy,,*,,,,,,,,2005-03-24,
,31,Group booking information,,*,,,,,,,,2005-03-24,
,32,Rate disclaimer information,,*,,,,,,,,2005-03-24,
,33,Visa/travel requirement information,,*,,,,,,,,2005-03-24,
,34,Security information,,*,,,,,,,,2005-03-24,
,35,Onsite recreational activities information,,*,,,,,,,,2005-03-24,
,36,Offsite recreational activities information,,*,,,,,,,,2005-03-24,
,37,General meeting planning information,,*,,,,,,,,2005-06-01,
,38,Group meeting planning information,,*,,,,,,,,2005-06-01,
,39,Contract/negotiated booking information,,*,,,,,,,,2005-11-11,
,40,Travel industry booking information,,*,,,,,,,,2005-11-11,
,41,Meeting room description,,*,,,,,,,,2008-08-21,
,42,Pet policy description,,*,,,,,,,,2008-08-21,
,43,Meal plan description,,*,,,,,,,,2008-08-21,
,44,Family plan description,,*,,,,,,,,2008-08-21,
,45,Children information,,*,,,,,,,,2010-09-10,
Additional Info Code,,AIC,,,,,,,,,,2005-11-11,
,1,Standard sales kit,,*,,,,,,,,2005-11-11,
,2,Site profile,,*,,,,,,,,2005-11-11,
,3,Resort fees price list,,*,,,,,,,,2005-11-11,
,4,Parking price list,,*,,,,,,,,2005-11-11,
,5,Valet parking price list,,*,,,,,,,,2005-11-11,
,6,Fitness center price list,,*,,,,,,,,2005-11-11,
,7,Porterage & baggage price list,,*,,,,,,,,2005-11-11,
,8,Internet access & accessories price list,,*,,,,,,,Corrected spelling of Internet,2010-11-22,
,9,Room drops price list,,*,,,,,,,,2005-11-11,
,10,Corkage - wine & beer fees price list,,*,,,,,,,,2005-11-11,
,11,Shipping & receiving price list,,*,,,,,,,,2005-11-11,
Additional Operation Info,,OPR,,,,,,,,,,2004-11-11,
,1,After hours available,,,,*,,,,,"All after hours services are available during the times listed. If no times are listed, services are available at any time that the location is not open.",2004-11-11,
,2,After hours conditional,,,,*,,,,,"After hours service is provided during the times listed, but conditions apply e.g. a flight number is required, see VehLocRentInfo. If no times are listed, the conditional services are available at any time that the location is not open.",2004-11-11,
,3,After hours returns,,,,*,,,,,"After hours returns service is provided during the times listed. If no times are listed, an after hours return service is available at any time that the location is not open.",2004-11-11,
,4,After hours pickups,,,,*,,,,,"After hours pickup service is provided during the times listed. If no times are listed, an after hours pickup service is available at any time that the location is not open.",2004-11-11,
Address Use Type,,AUT,,,,,,,,,,2003-06-01,
,1,Delivery,*,,,,,,,,,2003-06-01,
,2,Mailing,*,,,,,,,,,2003-06-01,
,3,Billing,*,,,,,,,,,2003-06-01,
,4,Credit card,*,,,,,,,,,2003-06-01,
,5,Other,*,,,,,,,,,2003-06-01,
,6,Contact,,*,,,,,,,,2003-06-01,
,7,Physical,,*,,,,,,,,2003-06-01,
,8,Pre-opening office,,*,,,,,,,,2003-06-01,
,9,Collection,,,,*,,,,,,2004-10-04,
,10,Chain,,*,,,,,,,,2006-01-24,
,11,Deposit,,*,,,,,,,,2006-01-24,
,12,Hotel,,*,,,,,,,,2006-09-05,
,13,Permanent,,,,,,,,,,2008-09-19,
Age Qualifying Code,,AQC,,,,,,,,,,2003-06-01,
,1,Over 21,,*,,,,,,,,2003-06-01,
,2,Over 65,,*,,,,,,,,2003-06-01,
,3,Under 2,,*,,,,,,,,2003-06-01,
,4,Under 12,,*,,,,,,,,2003-06-01,
,5,Under 17,,*,,,,,,,,2003-06-01,
,6,Under 21,,*,,,,,,,,2003-06-01,
,7,Infant,,,*,,,,,,,2003-06-01,
,8,Child,,,*,,,,,,,2003-06-01,
,9,Teenager,,,,,,,,,,2003-06-01,
,10,Adult,,,*,,,,,,,2003-06-01,
,11,Senior ,,,*,,,,,,,2003-06-01,
,12,Additional occupant with adult,,,,,,,,,,2003-06-01,
,13,Additional occupant without adult,,,,,,,,,,2003-06-01,
,14,Free child,,,*,,,,,,,2003-06-01,
,15,Free adult,,,*,,,,,,,2003-06-01,
,16,Young driver,,,,*,,,,,,2003-06-01,
,17,Younger driver,,,,*,,,,,,2003-06-01,
,18,Under 10,,*,,,,,,,,2004-10-04,
Air Row Type,,ROW,,,,,,,,,,2003-12-01,
,1,Buffer row,,,,,,*,,,,2003-12-01,
,2,Exit left,,,,,,*,,,,2003-12-01,
,3,Exit right,,,,,,*,,,,2003-12-01,
,4,Exit row,,,,,,*,,,,2003-12-01,
,5,Exit row with cabin facilities in a designated column,,,,,,*,,,,2003-12-01,
,6,Exit row with cabin facilities in an undesignated column,,,,,,*,,,,2003-12-01,
,7,Extra leg room,,,,,,*,,,,2003-12-01,
,8,Indifferent row,,,,,,*,,,,2003-12-01,
,9,Lowerdeck row,,,,,,*,,,,2003-12-01,
,10,Maindeck row,,,,,,*,,,,2003-12-01,
,11,No-smoking row,,,,,,*,,,,2003-12-01,
,12,Not overwing row,,,,,,*,,,,2003-12-01,
,13,Overwing row,,,,,,*,,,,2003-12-01,
,14,Row does not exist,,,,,,*,,,,2003-12-01,
,15,Row with cabin facilities in a designated column,,,,,,*,,,,2003-12-01,
,16,Row with cabin facilities in an undesignated column,,,,,,*,,,,2003-12-01,
,17,Row with movie screen,,,,,,*,,,,2003-12-01,
,18,Seat restrictions apply in this row,,,,,,*,,,,2003-12-01,
,19,Smoking row,,,,,,*,,,,2003-12-01,
,20,Upperdeck row,,,,,,*,,,,2003-12-01,
,21,Preferred Row / preferential Row,,,,,,*,,,,2003-12-01,
Air Seat Type,,AST,,,,,,,,,,2003-12-01,
,1,Added seat,,,,,,*,,,,2003-12-01,
,2,Adjacent aisle seat,,,,,,*,,,,2003-12-01,
,3,Aisle seat,,,,,,*,,,,2003-12-01,
,4,All available aisle seats,,,,,,*,,,,2003-12-01,
,5,All available window seats,,,,,,*,,,,2003-12-01,
,6,Behind galley seat,,,,,,*,,,,2003-12-01,
,7,Behind toilet seat,,,,,,*,,,,2003-12-01,
,8,Blocked seat for preferred passenger in adjacent seat,,,,,,*,,,,2003-12-01,
,9,Buffer zone seat,,,,,,*,,,,2003-12-01,
,10,Bulkhead seat,,,,,,*,,,,2003-12-01,
,11,Bulkhead seat with movie screen,,,,,,*,,,,2003-12-01,
,12,"Center seat (not window, not aisle)",,,,,,*,,,,2003-12-01,
,13,Center section seat(s),,,,,,*,,,,2003-12-01,
,14,Crew seat,,,,,,*,,,,2003-12-01,
,15,Deportee,,,,,,*,,,,2003-12-01,
,16,Electronic connection for lap top or fax machine,,,,,,*,,,,2003-12-01,
,17,Exit row seat,,,,,,*,,,,2003-12-01,
,18,Front of cabin class/compartment,,,,,,*,,,,2003-12-01,
